procs -----------memoria---------- ---swap-- -----io---- -sistema-- ------cpu-----
 r  b   swpd  libre búfer caché   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 548176  66392 811756    0    0   592    53  247  601  1  1 97  1  0
 0  0      0 547680  66400 811852    0    0     0     2  498  939  0  1 99  0  0
 0  0      0 547428  66408 811852    0    0     0     1   74  109  0  0 100  0  0
 0  0      0 547428  66416 811852    0    0     0     2   72  104  0  0 100  0  0
 0  0      0 547428  66416 811852    0    0     0     0   79  127  0  0 100  0  0
 0  0      0 547428  66416 811852    0    0     0     0   71  104  0  0 100  0  0
 0  0      0 547428  66416 811852    0    0     0     0   73  106  0  0 100  0  0
 0  0      0 547428  66416 811852    0    0     0     0   69  112  0  0 100  0  0
 0  0      0 525472  66416 811852    0    0     0     0   89  179  0  0 100  0  0
 0  0      0 525496  66440 811828    0    0     0     8   80  118  0  0 100  0  0
 0  0      0 525496  66444 811828    0    0     0     2   68  111  0  0 100  0  0
 0  0      0 525496  66444 811828    0    0     0     0   71  106  0  0 100  0  0
 0  0      0 525496  66444 811828    0    0     0     0   72  108  0  0 100  0  0
 0  0      0 525496  66444 811828    0    0     0     0   70  107  0  0 100  0  0
 0  0      0 525244  66444 811828    0    0     0     0   71  110  0  0 100  0  0
 0  0      0 525496  66444 811828    0    0     0     0   69  105  0  0 100  0  0
 0  0      0 525496  66444 811828    0    0     0     0   69  112  0  0 100  0  0
 0  0      0 525244  66444 811828    0    0     0     0  233  430  0  0 100  0  0
 0  0      0 525244  66444 811828    0    0     0     0   83  138  0  0 100  0  0
 0  0      0 525180  66460 811820    0    0     0     3   80  112  0  0 100  0  0
 0  0      0 525180  66460 811828    0    0     0     1   73  108  0  0 100  0  0
procs -----------memoria---------- ---swap-- -----io---- -sistema-- ------cpu-----
 r  b   swpd  libre búfer caché   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 525180  66460 811828    0    0     0     0   66  109  0  0 100  0  0
 0  0      0 525180  66460 811828    0    0     0     0   73  109  0  0 100  0  0
 0  0      0 525180  66460 811828    0    0     0     0   70  108  0  0 100  0  0
