procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 12825676   4404  40116    0    0    10  2619    4   20  0  0 100  0  0
 0  0      0 12825676   4420  40128    0    0     0     5    3   22  0  0 100  0  0
 0  0      0 12825676   4424  40128    0    0     0     0    4   25  0  0 100  0  0
 0  0      0 12825676   4424  40128    0    0     0     0    2   19  0  0 100  0  0
 0  0      0 12825676   4424  40128    0    0     0     0    1   18  0  0 100  0  0
 0  0      0 12825676   4424  40128    0    0     0     0    2   17  0  0 100  0  0
 0  0      0 12825676   4424  40128    0    0     0     0    2   16  0  0 100  0  0
 0  0      0 12825676   4424  40128    0    0     0     0    2   15  0  0 100  0  0
 0  0      0 12825676   4424  40128    0    0     0     0    1   14  0  0 100  0  0
 0  0      0 12825676   4424  40128    0    0     0     0    1   15  0  0 100  0  0
 0  0      0 12825676   4424  40128    0    0     0     0    1   15  0  0 100  0  0
 0  0      0 12825676   4424  40128    0    0     0     0    1   16  0  0 100  0  0
 0  0      0 12825676   4424  40128    0    0     0     0    1   14  0  0 100  0  0
 0  0      0 12825676   4424  40128    0    0     0     0    1   14  0  0 100  0  0
 0  0      0 12825676   4424  40128    0    0     0     0    1   15  0  0 100  0  0
 0  0      0 12825676   4424  40128    0    0     0     0    2   16  0  0 100  0  0
 0  0      0 12825676   4424  40128    0    0     0     0    1   16  0  0 100  0  0
 0  0      0 12825676   4424  40128    0    0     0     0    1   16  0  0 100  0  0
 0  0      0 12825676   4424  40128    0    0     0     0    1   16  0  0 100  0  0
 0  0      0 12825676   4424  40128    0    0     0     0    2   17  0  0 100  0  0
 0  0      0 12825676   4424  40128    0    0     0     0    1   16  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 12825676   4424  40128    0    0     0     0    1   17  0  0 100  0  0
 0  0      0 12825676   4424  40128    0    0     0     0    1   16  0  0 100  0  0
 0  0      0 12825676   4424  40128    0    0     0     0    1   17  0  0 100  0  0
 0  0      0 12825676   4424  40128    0    0     0     0    1   16  0  0 100  0  0
 0  0      0 12825676   4424  40128    0    0     0     0    1   16  0  0 100  0  0
