procs -----------memoria---------- ---swap-- -----io---- -sistema-- ------cpu-----
r  b   swpd  libre búfer caché   si   so    bi    bo   in   cs us sy id wa st
4  0   1036  81872  45736 1197636    0    0   298   266  690  453  3  1 96  1  0
0  0   1292  90496  44912 1178380    0    4    23    20  514  191  3  1 97  0  0
0  0   1292  88984  44916 1178444    0    0     4     4  523   98  1  0 98  0  0
0  0   1292  88984  44932 1178444    0    0     0    58  563   96  1  0 99  0  0
0  0   1292  88984  44956 1178440    0    0     0    13  567   97  1  0 99  0  0
0  0   1292  88984  44960 1178576    0    0     0    25  557  100  1  0 99  0  0
0  0   1292  88732  44972 1178580    0    0     0    29  533   98  1  0 98  0  0
0  0   1292  88732  44980 1178580    0    0     0    44  485   98  1  0 99  0  0
0  0   1292  88732  44996 1178712    0    0     0     5  500   97  1  0 98  0  0
0  0   1292  88732  45004 1178712    0    0     0    26  543  115  2  0 98  0  0
0  0   1292  88732  45008 1178712    0    0     0    24  588  107  1  0 98  0  0
0  0   1292  88732  45020 1178708    0    0     0    50  578   99  1  0 99  0  0
0  0   1292  88480  45048 1178716    0    0     0    26  583   99  1  0 99  0  0
0  0   1292  88480  45052 1178720    0    0     0    23  573   99  1  0 98  0  0
0  0   1292  88480  45064 1178720    0    0     0    28  563   97  1  0 99  0  0
0  0   1292  88480  45068 1178720    0    0     0     4  505   97  1  0 99  0  0
0  0   1292 100324  44740 1163692    0    3    25    48  652 1230 17  2 79  3  0
0  0   1292 107380  44756 1161992    0    0     1    32  689 1006  8  1 91  0  0
1  0  32960 112460  32264 858456    0 2108 11595  2400 1284 5981 57  9 32  2  0
1  0  43784 155392  28712 823620   13  733  2047  3752  807 5578 67  5 24  4  0
1  0  58716  97560  25740 746044    0  985   258  2626  818 6057 63  8 27  2  0
procs -----------memoria---------- ---swap-- -----io---- -sistema-- ------cpu-----
r  b   swpd  libre búfer caché   si   so    bi    bo   in   cs us sy id wa st
5  0  86788 113852  20060 685376   13 1875  1191  2375  946 7014 76  8 15  0  0
0  0  86788 162052  20172 661456    2    0   234   297  670 3178 46  4 50  0  0
0  0  86788 202620  20248 663172    0    0   146   417  620  900  7  1 92  0  0
1  0  86788 177644  20288 663784    0    0    34   230  634 1986 18  3 79  0  0
0  0  86788 771552  20372 640076    1    0   139   163  595  703  6  1 93  0  0
0  0  86788 771300  20388 640276    0    0     5    23  569  173  2  0 98  0  0
0  0  86788 771300  20404 640336    0    0     3    35  551  105  1  0 98  0  0
0  0  86788 771048  20420 640392    0    0     4    38  562   95  1  0 99  0  0
1  0  86788 704992  22552 667108   11    0  1617    18  691 1211 17  4 79  0  0
1  0  86788 702472  22960 670240    9    0   253    30 1960 2062 14  3 82  0  0
0  0  86788 705040  23144 668628    0    0    31    57 1272 1198 10  2 88  0  0
0  0  86788 359872  24432 718452    1    0  3142   172  747 3662 37  6 45 12  0
0  0  86788 405492  24456 720636    0    0     0    80  599  451  3  0 96  0  0
1  0  86788 134464  24920 742124    1    0   140   472 1060 9089 64  8 28  0  0
4  0 154244 105888  21536 657184    1 4499   303  6108 1175 8498 69 10 21  0  0
1  0 215020 178296  21216 581776    9 4048   957  5110 1023 5321 62  8 30  0  0
0  0 215020 194040  21800 581628    3    0    98    38  687 3360 33  5 62  0  0
0  0 215020 200844  21872 581068    0    0    15   268  639 1653  9  3 88  0  0
2  0 215020 170836  21920 592144    0    0     8    80 1237 8732 38  8 54  0  0
0  0 215020 181444  21936 588836    1    0     3   200  635 2250 14  3 83  0  0
0  0 215020 186200  21960 588876    0    0     0   765  653 2944 16  4 80  0  0
procs -----------memoria---------- ---swap-- -----io---- -sistema-- ------cpu-----
r  b   swpd  libre búfer caché   si   so    bi    bo   in   cs us sy id wa st
4  0 215020 150472  22012 590580    0    0   131    71  663 3237 32  4 64  0  0
0  0 215020 160780  22036 590308    0    0     0    57  703 3716 23  4 72  0  0
0  0 215020 149188  22060 589416    0    0     1    83  668 3374 24  4 72  0  0
0  0 215020 142888  22076 591080    0    0   106    43  666 3500 23  5 73  0  0
